"Length","Region"
10.73,"NC"
10.33,"NE"
9.76,"W"
7.7,"W"
8.54,"NE"
8.88,"NC"
6.7,"W"
8.95,"W"
7.78,"S"
9.89,"NE"
10.3,"NC"
10.23,"NC"
10.79,"NC"
8.48,"S"
10.9,"NC"
11.41,"S"
10.16,"W"
10.42,"NE"
9.61,"S"
8.34,"S"
10.24,"NC"
9.36,"NE"
8.28,"NC"
7.39,"NC"
11.18,"NC"
9.77,"NC"
7.58,"NC"
7.94,"NC"
11.18,"NC"
8.58,"S"
8.03,"NE"
8.19,"NE"
9,"S"
8.86,"S"
8.45,"NC"
13.59,"NE"
11.41,"S"
11.48,"NE"
11.46,"S"
10.8,"S"
8.77,"W"
8.28,"W"
9.89,"NC"
11.03,"NE"
11.07,"NE"
9.42,"NE"
7.14,"W"
11.2,"NE"
9.84,"S"
9.05,"S"
9.84,"NC"
11.15,"NE"
8.37,"NC"
7.14,"S"
7.93,"W"
11.62,"NE"
10.02,"NC"
7.14,"W"
7.65,"W"
7.53,"W"
8.02,"NC"
10.39,"NC"
8.3,"S"
9.97,"NC"
9.66,"NC"
10.72,"S"
19.56,"NE"
7.91,"S"
7.84,"S"
12.78,"NE"
9.2,"W"
8.63,"NE"
7.67,"S"
11.2,"S"
8.84,"NE"
8.82,"NC"
9.68,"S"
9.53,"S"
12.07,"NC"
8.15,"W"
8.93,"S"
9.76,"NC"
9.41,"S"
9.44,"S"
7.95,"S"
11.08,"S"
11.8,"NC"
8.16,"S"
10.15,"S"
17.94,"NE"
9.74,"NC"
7.08,"S"
8.92,"NC"
9.06,"NC"
8.66,"S"
8.88,"S"
9.23,"NC"
12.01,"NE"
9.35,"S"
10.47,"NC"
